From	Entry	Protein names	Gene Names	Length	EC number	Interacts with	Pathway	Gene Ontology IDs	Subcellular location [CC]	PubMed ID	Protein families	Domain [FT]	Topological domain
b0032	A0A7U7IYY9	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase glutamine chain)	b0032 carA pyrA YE3094_35351	352	6.3.5.5		PATHWAY: Amino-acid biosynthesis; L-arginine biosynthesis; carbamoyl phosphate from bicarbonate: step 1/1. {ECO:0000256|ARBA:ARBA00005077, ECO:0000256|HAMAP-Rule:MF_01209}.; PATHWAY: Pyrimidine metabolism; UMP biosynthesis via de novo pathway; (S)-dihydroorotate from bicarbonate: step 1/3. {ECO:0000256|HAMAP-Rule:MF_01209}.	GO:0004088; GO:0005524; GO:0006207; GO:0006526; GO:0006541; GO:0044205		24753568	CarA family	DOMAIN 1..98; /note="Carbamoyl-phosphate synthase small subunit N-terminal"; /evidence="ECO:0000259|SMART:SM01097"	
b0032	A0A9P1K926	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase glutamine chain)	b0032 carA pyrA YE5303_27161	387	6.3.5.5		PATHWAY: Amino-acid biosynthesis; L-arginine biosynthesis; carbamoyl phosphate from bicarbonate: step 1/1. {ECO:0000256|ARBA:ARBA00005077, ECO:0000256|HAMAP-Rule:MF_01209}.; PATHWAY: Pyrimidine metabolism; UMP biosynthesis via de novo pathway; (S)-dihydroorotate from bicarbonate: step 1/3. {ECO:0000256|HAMAP-Rule:MF_01209}.				CarA family	DOMAIN 3..133; /note="Carbamoyl-phosphate synthase small subunit N-terminal"; /evidence="ECO:0000259|SMART:SM01097"	
b0032	A1JJE6	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase glutamine chain)	carA b0032 pyrA YE0621	387	6.3.5.5		PATHWAY: Amino-acid biosynthesis; L-arginine biosynthesis; carbamoyl phosphate from bicarbonate: step 1/1. {ECO:0000256|ARBA:ARBA00005077, ECO:0000256|HAMAP-Rule:MF_01209}.; PATHWAY: Pyrimidine metabolism; UMP biosynthesis via de novo pathway; (S)-dihydroorotate from bicarbonate: step 1/3. {ECO:0000256|HAMAP-Rule:MF_01209}.	GO:0004088; GO:0005524; GO:0006207; GO:0006526; GO:0006541; GO:0044205		17173484	CarA family	DOMAIN 3..133; /note="Carbamoyl-phosphate synthase small subunit N-terminal"; /evidence="ECO:0000259|SMART:SM01097"	
b0864	P0AAF6	Arginine transport ATP-binding protein ArtP (EC 7.4.2.1)	artP b0864 JW0848	242	7.4.2.1			GO:0005524; GO:0005886; GO:0015426; GO:0016020; GO:0016887; GO:0055052; GO:0097638	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}.	8501075; 8905232; 9278503; 16738553; 8801422	ABC transporter superfamily	DOMAIN 3..241; /note="ABC transporter"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00434"	
b3212	P09831	Glutamate synthase [NADPH] large chain (EC 1.4.1.13) (Glutamate synthase subunit alpha) (GLTS alpha chain) (NADPH-GOGAT)	gltB aspB b3212 JW3179	1486	1.4.1.13	P09832	PATHWAY: Amino-acid biosynthesis; L-glutamate biosynthesis via GLT pathway; L-glutamate from 2-oxoglutarate and L-glutamine (NADP(+) route): step 1/1.; PATHWAY: Energy metabolism; nitrogen metabolism.	GO:0004355; GO:0005829; GO:0006537; GO:0009342; GO:0015930; GO:0019676; GO:0046872; GO:0051538; GO:0097054		3326786; 9278503; 16738553; 1673677; 4565085; 2643092	Glutamate synthase family	DOMAIN 12..402; /note="Glutamine amidotransferase type-2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00609"	
b2818	P0A6C5	Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGS) (NAGS)	argA b2818 JW2786	443	2.3.1.1		PATHWAY: Amino-acid biosynthesis; L-arginine biosynthesis; N(2)-acetyl-L-ornithine from L-glutamate: step 1/4. {ECO:0000269|PubMed:16890}.	GO:0004042; GO:0004358; GO:0005737; GO:0006526; GO:0103045	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305|PubMed:16890}.	3320971; 9572954; 9278503; 16738553; 16890; 9298644	Acetyltransferase family, ArgA subfamily	DOMAIN 296..443; /note="N-acetyltransferase"	
b2309	P0AEU0	Histidine-binding periplasmic protein (HBP)	hisJ b2309 JW2306	260				GO:0016020; GO:0016597; GO:0030288; GO:0055052; GO:1903810	SUBCELLULAR LOCATION: Periplasm {ECO:0000250|UniProtKB:P02910}.	9205837; 9278503; 16738553; 9298646; 9600841; 8161536	Bacterial solute-binding protein 3 family		
b1748	P77581	Succinylornithine transaminase (SOAT) (EC 2.6.1.81) (Carbon starvation protein C) (Succinylornithine aminotransferase)	astC argM cstC ydjW b1748 JW1737	406	2.6.1.81		PATHWAY: Amino-acid degradation; L-arginine degradation via AST pathway; L-glutamate and succinate from L-arginine: step 3/5. {ECO:0000269|PubMed:9696779}.	GO:0003992; GO:0006527; GO:0006593; GO:0019544; GO:0019545; GO:0030170; GO:0042450; GO:0042802; GO:0043825		9696780; 9097039; 9278503; 16738553; 9696779	Class-III pyridoxal-phosphate-dependent aminotransferase family, AstC subfamily		
b4484	P0AE85	Periplasmic protein CpxP (ORF_o167) (Periplasmic accessory protein CpxP)	cpxP yiiO b4484 JW5558	166		P0AE85		GO:0030288; GO:0042802; GO:0051082	SUBCELLULAR LOCATION: Periplasm {ECO:0000269|PubMed:25207645, ECO:0000269|PubMed:9473036}.	8346018; 9278503; 16397293; 16738553; 9351822; 9473036; 10972835; 16166523; 16303867; 16768798; 17259177; 21317898; 25207645; 21317318; 21239493	CpxP/Spy family		
b3912	P0AE88	Transcriptional regulatory protein CpxR	cpxR yiiA b3912 JW3883	232		P0AE82; P00861; P0AG86		GO:0000156; GO:0000976; GO:0003700; GO:0005829; GO:0006355; GO:0007155; GO:0010810; GO:0032993; GO:0045892; GO:0045893	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.	8294007; 8346018; 9278503; 16738553; 3058985; 7883164; 9351822; 9401031; 9473036; 10972835; 11830644; 16166523; 17259177; 23416055; 25207645		DOMAIN 3..115; /note="Response regulatory"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00169"	
b1890	P09348	Motility protein A (Chemotaxis protein MotA)	motA flaJ b1890 JW1879	295		P0AF06		GO:0005886; GO:0006935; GO:0009288; GO:0015252; GO:0071973; GO:0071978; GO:0120101; GO:1902600	SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.	6090403; 9097040; 9278503; 16738553; 3007435; 1719217; 7643400; 15919996; 20303158; 20346719; 19081534	MotA family		TOPO_DOM 22..33; /note="Periplasmic"; /evidence="ECO:0000255"; TOPO_DOM 52..170; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 192..200; /note="Periplasmic"; /evidence="ECO:0000255"; TOPO_DOM 223..295; /note="Cytoplasmic"; /evidence="ECO:0000255"
b3363	P0AFL3	Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Rotamase A)	ppiA rot rotA b3363 JW3326	190	5.2.1.8			GO:0003755; GO:0006457; GO:0030288; GO:0042597	SUBCELLULAR LOCATION: Periplasm {ECO:0000269|PubMed:2190212}.	2007139; 2546924; 9278503; 16738553; 2403545; 2190212; 1606970; 2001362; 8130188; 8180197	Cyclophilin-type PPIase family	DOMAIN 27..188; /note="PPIase cyclophilin-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00156"	
b0970	P0AAC6	Modulator of FtsH protease YccA	yccA b0970 JW0953	219				GO:0005886; GO:0016020; GO:0030162; GO:0043066	SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein. Note=There are conflicting results regarding the localization of the C-terminus of this protein: According to a report, the C-terminus localizes in the periplasm (PubMed:10357810). Another report gives the C-terminus in the cytoplasm (PubMed:15919996). We show the periplasmic location. {ECO:0000269|PubMed:10357810, ECO:0000269|PubMed:15919996}.	6376117; 8905232; 9278503; 16738553; 9636708; 10357810; 15919996; 19661432; 19454621	BI1 family		TOPO_DOM 1..22; /note="Cytoplasmic"; /evidence="ECO:0000305"; TOPO_DOM 44..46; /note="Extracellular"; /evidence="ECO:0000305"; TOPO_DOM 65..73; /note="Cytoplasmic"; /evidence="ECO:0000305"; TOPO_DOM 95..104; /note="Extracellular"; /evidence="ECO:0000305"; TOPO_DOM 126..132; /note="Cytoplasmic"; /evidence="ECO:0000305"; TOPO_DOM 154..157; /note="Extracellular"; /evidence="ECO:0000305"; TOPO_DOM 179..195; /note="Cytoplasmic"; /evidence="ECO:0000305"; TOPO_DOM 217..219; /note="Extracellular"
b4160	P0A8K1	Phosphatidylserine decarboxylase proenzyme (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase alpha chain; Phosphatidylserine decarboxylase beta chain]	psd b4160 JW4121	322	4.1.1.65		PATHWAY: Phospholipid metabolism; phosphatidylethanolamine biosynthesis; phosphatidylethanolamine from CDP-diacylglycerol: step 2/2. {ECO:0000255|HAMAP-Rule:MF_00662, ECO:0000269|PubMed:4598120}.	GO:0004609; GO:0005886; GO:0006646; GO:0016540; GO:0031638; GO:0042803	SUBCELLULAR LOCATION: Cell membrane {ECO:0000255|HAMAP-Rule:MF_00662, ECO:0000269|PubMed:4598120}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_00662, ECO:0000269|PubMed:4598120}.	3042771; 7610040; 9278503; 16738553; 4598120; 338609; 2406271; 1495415	Phosphatidylserine decarboxylase family, PSD-B subfamily, Prokaryotic type I sub-subfamily		
b2215	P06996	Outer membrane porin C (Outer membrane protein 1B) (Outer membrane protein C) (Porin OmpC)	ompC meoA par b2215 JW2203	367		P0C0V0; P76506		GO:0001618; GO:0006974; GO:0009279; GO:0015288; GO:0034220; GO:0042802; GO:0046813; GO:0046872; GO:0046930	SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000269|PubMed:2464593}; Multi-pass membrane protein {ECO:0000269|PubMed:16949612}.	6304064; 9097040; 9278503; 16738553; 6297988; 2997131; 9298646; 9629924; 3010044; 2464593; 9298644; 27723824; 28423182; 16949612	Gram-negative porin family		TOPO_DOM 22..33; /note="Periplasmic"; /evidence="ECO:0000269|PubMed:16949612"; TOPO_DOM 43..53; /note="Extracellular"; /evidence="ECO:0000269|PubMed:16949612"; TOPO_DOM 64..73; /note="Periplasmic"; /evidence="ECO:0000269|PubMed:16949612"; TOPO_DOM 85..91; /note="Extracellular"; /evidence="ECO:0000269|PubMed:16949612"; TOPO_DOM 102..106; /note="Periplasmic"; /evidence="ECO:0000269|PubMed:16949612"; TOPO_DOM 116..141; /note="Extracellular"; /evidence="ECO:0000269|PubMed:16949612"; TOPO_DOM 155..163; /note="Periplasmic"; /evidence="ECO:0000269|PubMed:16949612"; TOPO_DOM 172..200; /note="Extracellular"; /evidence="ECO:0000269|PubMed:16949612"; TOPO_DOM 208..211; /note="Periplasmic"; /evidence="ECO:0000269|PubMed:16949612"; TOPO_DOM 220..241; /note="Extracellular"; /evidence="ECO:0000269|PubMed:16949612"; TOPO_DOM 249..252; /note="Periplasmic"; /evidence="ECO:0000269|PubMed:16949612"; TOPO_DOM 261..269; /note="Extracellular"; /evidence="ECO:0000269|PubMed:16949612"; TOPO_DOM 287..291; /note="Periplasmic"; /evidence="ECO:0000269|PubMed:16949612"; TOPO_DOM 300..318; /note="Extracellular"; /evidence="ECO:0000269|PubMed:16949612"; TOPO_DOM 327..330; /note="Periplasmic"; /evidence="ECO:0000269|PubMed:16949612"; TOPO_DOM 339..358; /note="Extracellular"; /evidence="ECO:0000269|PubMed:16949612"; TOPO_DOM 367; /note="Periplasmic"; /evidence="ECO:0000269|PubMed:16949612"
b4355	P02942	Methyl-accepting chemotaxis protein I (MCP-I) (Serine chemoreceptor protein)	tsr cheD b4355 JW4318	551				GO:0004888; GO:0005886; GO:0006935; GO:0007165; GO:0007172; GO:0009593; GO:0032110; GO:0042802; GO:0043113; GO:0048870; GO:0050920; GO:0071230; GO:0098561; GO:1902021	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:22380631}; Multi-pass membrane protein {ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:22380631}. Note=Found predominantly at cell poles.	6402709; 7610040; 9278503; 16738553; 8384293; 6213619; 2033064; 9298644; 15919996; 22380631; 10466731	Methyl-accepting chemotaxis (MCP) protein family	DOMAIN 216..268; /note="HAMP"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00102"; DOMAIN 273..502; /note="Methyl-accepting transducer"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00284"	TOPO_DOM 1..6; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 31..190; /note="Periplasmic"; /evidence="ECO:0000255"; TOPO_DOM 211..551; /note="Cytoplasmic"; /evidence="ECO:0000255"
b1902	P0A9A2	Bacterial non-heme ferritin-like protein	ftnB yecI b1902 JW1890	167				GO:0004322; GO:0005737; GO:0005829; GO:0006880; GO:0008198; GO:0008199	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.	9097040; 9278503; 16738553	Ferritin family, Prokaryotic subfamily	DOMAIN 1..145; /note="Ferritin-like diiron"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00085"	
b1743	P77754	Periplasmic chaperone Spy (Spheroplast protein Y)	spy b1743 JW1732	161		Q03708		GO:0014070; GO:0030288; GO:0042803; GO:0044183; GO:0051082; GO:0061077	SUBCELLULAR LOCATION: Periplasm {ECO:0000269|PubMed:21317898, ECO:0000269|PubMed:9068658, ECO:0000269|PubMed:9694902}.	9068658; 9097039; 9278503; 16738553; 9694902; 10972835; 12354228; 21317898; 24497545; 24999585; 26619265	CpxP/Spy family		
b3057	P60932	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP bacA upk b3057 JW3029	273	3.6.1.27			GO:0005886; GO:0008360; GO:0009252; GO:0016311; GO:0016462; GO:0046677; GO:0050380; GO:0071555	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15138271, ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000269|PubMed:15138271, ECO:0000269|PubMed:15919996}.	9278503; 16738553; 8389741; 3009457; 15138271; 15778224; 15919996	UppP family		
b2580	P12295	Uracil-DNA glycosylase (UDG) (EC 3.2.2.27)	ung b2580 JW2564	229	3.2.2.27	P08957; P0A763; P14739		GO:0004844; GO:0005737; GO:0097510	SUBCELLULAR LOCATION: Cytoplasm.	2836397; 9205837; 9278503; 16738553; 9261156; 9776748; 10080896; 10090282; 11027138	Uracil-DNA glycosylase (UDG) superfamily, UNG family		
b0441	P0ADY1	Periplasmic chaperone PpiD (Periplasmic folding chaperone)	ppiD ybaU b0441 JW0431	623		P0ADY1		GO:0003755; GO:0005886; GO:0042802; GO:0061077	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:16079137, ECO:0000269|PubMed:21210718, ECO:0000269|PubMed:9670013}; Single-pass type II membrane protein {ECO:0000269|PubMed:21210718, ECO:0000269|PubMed:9670013}; Periplasmic side {ECO:0000269|PubMed:21210718, ECO:0000269|PubMed:9670013}. Note=Located at the lateral gate of SecY. {ECO:0000269|PubMed:24951590}.	9278503; 16738553; 9670013; 16079137; 16267292; 18439025; 18498364; 20920237; 21210718; 24855643; 24951590; 29097228; 31699901; 33036312; 19866485	PpiD chaperone family	DOMAIN 266..355; /note="PpiC"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00278"	TOPO_DOM 1..15; /note="Cytoplasmic"; /evidence="ECO:0000269|PubMed:21210718, ECO:0000305|PubMed:9670013"; TOPO_DOM 37..623; /note="Periplasmic"; /evidence="ECO:0000269|PubMed:21210718, ECO:0000305|PubMed:9670013"
b3688	P0ADM4	Uncharacterized protein YidQ	yidQ b3688 JW5633	110				GO:0006974; GO:0009279		7686882; 9278503; 16738553			
b2573	P0AGB6	ECF RNA polymerase sigma-E factor (RNA polymerase sigma-E factor) (Sigma-24)	rpoE sigE b2573 JW2557	191		Q46864		GO:0000345; GO:0003677; GO:0005737; GO:0005886; GO:0006352; GO:0006355; GO:0006970; GO:0009266; GO:0016987; GO:0036460; GO:0045892; GO:0090605; GO:1903865; GO:2000142	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11777003, ECO:0000269|PubMed:9159522}. Note=Associates with the inner membrane via RseA (PubMed:9159522, PubMed:11777003). {ECO:0000269|PubMed:11777003}.	7889935; 9278503; 16738553; 7768826; 7889934; 2691330; 8276244; 7961422; 8052622; 9159522; 9159523; 9351822; 10500101; 11777003; 11274153; 12016219; 14527658; 15371343; 16336047; 17210793; 23687042; 28924029; 12718891; 16903784	Sigma-70 factor family, ECF subfamily		
b1041	P0ABK7	Minor curlin subunit	csgB b1041 JW1024	151		P0ABK7		GO:0007155; GO:0009279; GO:0009289; GO:0042802; GO:0044010; GO:0098775; GO:1905906; GO:1990000	SUBCELLULAR LOCATION: Fimbrium. Note=Part of the curli surface structure.	8817489; 8905232; 9278503; 16738553; 7854117; 17010156; 24097954	CsgA/CsgB family		
b2617	P0A937	Outer membrane protein assembly factor BamE	bamE smpA b2617 JW2598	113		P0AC02; P0A937		GO:0016020; GO:0030674; GO:0042802; GO:0043165; GO:0046677; GO:0051205; GO:1990063	SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000255|HAMAP-Rule:MF_00925, ECO:0000269|PubMed:17404237, ECO:0000269|PubMed:26900875, ECO:0000269|PubMed:26901871}; Lipid-anchor {ECO:0000255|HAMAP-Rule:MF_00925, ECO:0000269|PubMed:17404237, ECO:0000269|PubMed:27686148}.	9205837; 9278503; 16738553; 2045357; 17404237; 20378773; 21823654; 22178970; 21139201; 21207987; 21212804; 21586578; 27686148; 26900875; 26901871; 26744406	BamE family		
b0754	P0AB91	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	aroG b0754 JW0737	350	2.5.1.54	P0AB91	PATHWAY: Metabolic intermediate biosynthesis; chorismate biosynthesis; chorismate from D-erythrose 4-phosphate and phosphoenolpyruvate: step 1/7.	GO:0003849; GO:0005737; GO:0005829; GO:0008652; GO:0009073; GO:0009423; GO:0042802		6125934; 8905232; 9278503; 16738553; 9298646; 18723842; 10425687	Class-I DAHP synthase family		
b1040	P52106	CsgBAC operon transcriptional regulatory protein	csgD b1040 JW1023	216		P52106		GO:0000976; GO:0000987; GO:0001216; GO:0001217; GO:0005886; GO:0032993; GO:0042802; GO:1900190; GO:2000144	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305|PubMed:16513732}; Peripheral membrane protein {ECO:0000305|PubMed:16513732}. Note=In experiments done with low-level constitutively expressed protein.	8817489; 8905232; 9278503; 16738553; 16513732; 17010156; 24212724		DOMAIN 149..214; /note="HTH luxR-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00411"	
b0161	P0C0V0	Periplasmic serine endoprotease DegP (EC 3.4.21.107) (Heat shock protein DegP) (Protease Do)	degP htrA ptd b0161 JW0157	474	3.4.21.107	P0C0V0; P0A910; P06996; P02666; P00698		GO:0004252; GO:0005886; GO:0006457; GO:0006508; GO:0006515; GO:0006979; GO:0008233; GO:0008236; GO:0009266; GO:0009408; GO:0030288; GO:0042597; GO:0042802; GO:0061077	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:9083020}; Peripheral membrane protein {ECO:0000269|PubMed:9083020}; Cytoplasmic side {ECO:0000269|PubMed:9083020}.	3057437; 8202364; 9278503; 16738553; 2165018; 2157212; 2180903; 9600841; 2025286; 7557477; 7883164; 7744744; 8830688; 9083020; 9351822; 10319814; 12270835; 12878036; 16166523; 16303867; 18505836; 18697939; 20005847; 20515644; 21526129; 11919638; 12730160; 18496527; 20581825; 21458668	Peptidase S1C family	DOMAIN 280..371; /note="PDZ 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00143"; DOMAIN 377..466; /note="PDZ 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00143"	
b2893	P0AEG6	Thiol:disulfide interchange protein DsbC	dsbC xprA b2893 JW2861	236				GO:0003756; GO:0015035; GO:0030288; GO:0042597; GO:0042803; GO:0046688; GO:0061077	SUBCELLULAR LOCATION: Periplasm {ECO:0000269|PubMed:8168498}.	1987126; 9278503; 16738553; 9298646; 8168498; 7536035; 8168497; 9254601; 19965429; 10700276	Thioredoxin family, DsbC subfamily	DOMAIN 36..231; /note="Thioredoxin"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00691"	
b0461	P0AAR0	Hha toxicity modulator TomB (Toxin overexpression modulator in biofilms)	tomB ybaJ b0461 JW0450	124				GO:0003677; GO:0005737; GO:0044010	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.	9278503; 16738553; 1956303; 7984428; 14727089; 16317765; 18545668	TomB family		
b3095	P0AA63	Inner membrane protein YqjA	yqjA b3095 JW3066	220				GO:0005886; GO:0022857; GO:0043093; GO:0055085	SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.	9278503; 16738553; 15919996; 16861804; 18456815; 19880597; 24277026	DedA family		TOPO_DOM 1..27; /note="Periplasmic"; /evidence="ECO:0000255"; TOPO_DOM 49..52; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 95..154; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 176..191; /note="Periplasmic"; /evidence="ECO:0000255"; TOPO_DOM 213..220; /note="Cytoplasmic"; /evidence="ECO:0000255"
b2169	P69811	Multiphosphoryl transfer protein (MTP) (Diphosphoryl transfer protein) (DTP) (Phosphotransferase FPr protein) (Pseudo-HPr) [Includes: Phosphocarrier protein HPr (Protein H); PTS system fructose-specific EIIA component (EIIA-Fru) (EIII-Fru) (Fructose-specific phosphotransferase enzyme IIA component)]	fruB fpr fruF b2169 JW2156	376				GO:0005737; GO:0005886; GO:0009401; GO:0016301; GO:0016310; GO:0022877; GO:0090563; GO:1902495; GO:1990539	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.	8013873; 9097040; 9278503; 16738553; 1981619; 3510127		DOMAIN 2..142; /note="PTS EIIA type-2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00417"; DOMAIN 285..375; /note="HPr"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00681"	
b3612	P37689	2,3-bisphosphoglycerate-independent phosphoglycerate mutase (BPG-independent PGAM) (Phosphoglyceromutase) (iPGM) (EC 5.4.2.12)	gpmI pgmI yibO b3612 JW3587	514	5.4.2.12		PATHWAY: Carbohydrate degradation; glycolysis; pyruvate from D-glyceraldehyde 3-phosphate: step 3/5. {ECO:0000305}.	GO:0005737; GO:0005829; GO:0006007; GO:0006096; GO:0006979; GO:0030145; GO:0046537		8041620; 9278503; 16738553; 10493123; 10437801	BPG-independent phosphoglycerate mutase family		
b2927	P0A9B6	D-erythrose-4-phosphate dehydrogenase (E4PDH) (EC 1.2.1.72)	epd gapB b2927 JW2894	339	1.2.1.72		PATHWAY: Cofactor biosynthesis; pyridoxine 5'-phosphate biosynthesis; pyridoxine 5'-phosphate from D-erythrose 4-phosphate: step 1/5.	GO:0004365; GO:0005829; GO:0006006; GO:0008615; GO:0042823; GO:0048001; GO:0051287	SUBCELLULAR LOCATION: Cytoplasm.	2546007; 9278503; 16738553; 7751290; 2124629; 9182530; 9696782	Glyceraldehyde-3-phosphate dehydrogenase family, Epd subfamily		
b2388	P0A6V8	Glucokinase (EC 2.7.1.2) (Glucose kinase)	glk b2388 JW2385	321	2.7.1.2			GO:0004340; GO:0005524; GO:0005536; GO:0005829; GO:0006096	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:9023215}.	9023215; 9205837; 9278503; 16738553	Bacterial glucokinase family		
b0315	P21514	Cyclic di-GMP phosphodiesterase PdeL (EC 3.1.4.52)	pdeL yahA b0315 JW0307	362	3.1.4.52			GO:0000976; GO:0042803; GO:0045893; GO:0046872; GO:0071111		9278503; 16738553; 1956285; 15995192; 26148715; 26553851; 24451384		DOMAIN 18..83; /note="HTH luxR-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00411"; DOMAIN 106..360; /note="EAL"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00074"	
b1530	P27245	Multiple antibiotic resistance protein MarR	marR cfxB inaR soxQ b1530 JW5248	144				GO:0003677; GO:0003700; GO:0006355; GO:0009408; GO:0045892; GO:0071236		8383113; 9097039; 9278503; 16738553; 8282690; 7768850; 10760140		DOMAIN 11..144; /note="HTH marR-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00345"	
b4014	P08997	Malate synthase A (MSA) (EC 2.3.3.9)	aceB mas b4014 JW3974	533	2.3.3.9		PATHWAY: Carbohydrate metabolism; glyoxylate cycle; (S)-malate from isocitrate: step 2/2.	GO:0004474; GO:0005737; GO:0006097; GO:0006099	SUBCELLULAR LOCATION: Cytoplasm.	3050899; 3060852; 8265357; 9278503; 16738553	Malate synthase family		
b3365	P08201	Nitrite reductase (NADH) large subunit (EC 1.7.1.15)	nirB b3365 JW3328	847	1.7.1.15		PATHWAY: Nitrogen metabolism; nitrate reduction (assimilation).	GO:0006113; GO:0006116; GO:0009344; GO:0020037; GO:0042128; GO:0046872; GO:0050660; GO:0050661; GO:0051537; GO:0051539; GO:0106316		2543955; 2200672; 9278503; 16738553; 2445993	Nitrite and sulfite reductase 4Fe-4S domain family		
b3916	P0A796	ATP-dependent 6-phosphofructokinase isozyme 1 (ATP-PFK 1) (Phosphofructokinase 1) (EC 2.7.1.11) (6-phosphofructokinase isozyme I) (Phosphohexokinase 1) (Sedoheptulose-7-phosphate kinase)	pfkA b3916 JW3887	320	2.7.1.11	P12281; P0A7I4; P37440	PATHWAY: Carbohydrate degradation; glycolysis; D-glyceraldehyde 3-phosphate and glycerone phosphate from D-glucose: step 3/4. {ECO:0000255|HAMAP-Rule:MF_00339}.	GO:0000287; GO:0003872; GO:0005524; GO:0005737; GO:0005829; GO:0005945; GO:0006002; GO:0006007; GO:0006096; GO:0016208; GO:0019003; GO:0030388; GO:0032553; GO:0042802; GO:0048029; GO:0051289; GO:0061621; GO:0070095	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00339, ECO:0000305|PubMed:17895580}.	3158524; 2953977; 8346018; 9278503; 16738553; 17895580; 9298644; 19756045; 2975709; 2527305	Phosphofructokinase type A (PFKA) family, ATP-dependent PFK group I subfamily, Prokaryotic clade 'B1' sub-subfamily		
